player,pos,team,team_conf,woba_num,woba_denom,wOBA,rating_adjustment,conf_diff,adj_woba_num,adj_wOBA,pa,ab,wRAA,adj_wRAA
"SPAID, Karli",3B,Miami (OH),MAC,152.44129999999998,213,0.7156868544600938,0.7927583775227329,0.15195253084385474,151.49658909163338,0.7112515919794995,216,172,63.884293243938345,63.12968472287298
"Oakland, Jess",SS,Minnesota,Big Ten,141.4155,216,0.654701388888889,-0.4089412223484241,0.6011396657698389,141.2233015565786,0.6538115812804565,220,173,54.499217765087614,54.34502378349903
"Wallace, Skylar",SS,Florida,SEC,146.4638,243,0.6027316872427984,-4.181052274529643,0.6048718013891359,150.0399804731405,0.6174484793133354,243,180,50.249565358119604,53.06644346651445
"Timmons, McKayla",C,Ball St.,MAC,145.1559,228,0.6366486842105263,1.5753484896736458,0.36996284354590253,143.21058866678047,0.6281166169595634,233,178,54.40643239554545,52.840551166141545
"Davidson, Claire",LF,Duke,ACC,139.02,229,0.6070742358078604,-2.277098967954867,0.8730768081040052,140.42402215985086,0.6132053369425802,229,180,48.13782987393133,49.24374701527514
"Atwood, Reese",C,Texas,Big 12,132.1606,218,0.6062412844036696,-2.9894053654722788,0.7269604092050672,134.42304495626718,0.616619472276455,221,179,46.311161444218975,48.11776320493906
"Otis, Korbe",LF,Florida,SEC,136.7278,236,0.5793550847457627,-4.181052274529643,0.6048718013891359,140.3039804731405,0.5945083918353412,236,170,44.456524322078025,47.27340243047289
"Golembiewski, Jenna",RF,Miami (OH),MAC,133.15099999999998,215,0.619306976744186,0.5851163765726461,0.12218940248260575,132.44369422094474,0.6160171824229987,215,184,47.266529451233254,46.70940036339047
"Wong, CC",3B,Wichita St.,AAC,121.4524,190,0.6392231578947368,-1.642853759471373,-0.5807136151268574,123.67596737459823,0.6509261440768328,190,151,44.75105293769126,46.50250768307953
"Barnard, Addison",CF,Wichita St.,AAC,117.6759,179,0.6574072625698324,-1.585670625020918,-0.58465062856924,119.84622125359016,0.6695319623105596,179,146,44.724058218923524,46.43357217475961
"Kobayashi, Kate",CF,Miami (OH),MAC,128.1753,208,0.6162274038461538,0.5604110793342849,0.1287668708546073,127.4861220498111,0.6129140483163995,208,152,45.22307123409691,44.680221035328636
"Brito, Alyssa",3B,Oklahoma,Big 12,125.7777,214,0.587746261682243,-1.308995977238579,0.8266441362953835,126.26005184094319,0.5900002422473981,214,178,41.726714496310095,42.1066523522158
"Brady, Maya",SS,UCLA,Pac-12,116.7679,195,0.5988097435897436,-2.8487983950279006,0.4297279523465139,119.18697044268139,0.6112152330393917,195,161,39.72132580731551,41.62677398696797
"Jennings, Tiare",SS,Oklahoma,Big 12,126.4473,222,0.5695824324324325,-1.3202247057262992,0.8424890911308801,126.92503561459542,0.5717343946603397,223,183,40.29106051225841,40.66905732192645
"Beachum, Jaysoni",3B,Florida St.,ACC,128.6085,234,0.5496089743589744,-2.2927812349155805,0.7892158577362121,130.11206537717936,0.5560344674238434,235,190,38.76201650840001,39.9514028545907
"Cannon, Trinity",DP,Texas A&M,SEC,116.2089,203,0.5724576354679803,-3.3890736664554053,0.5367033408815375,119.06127032557386,0.5865087208156348,203,152,37.137253428374294,39.38400232359662
"Black, Mallorie",3B,Georgia Tech,ACC,117.6489,201,0.5853179104477612,-1.557416996440838,0.8289529655205775,118.37736403092026,0.5889421096065685,201,166,38.80744963379201,39.38124460774934
"Greene, Addy",LF,Virginia Tech,ACC,117.1733,200,0.5858665,-1.3322677170449837,0.6875324013888073,117.81803531565618,0.5890901765782809,200,158,38.700800111711864,39.20864383213408
"McMillan, Cori",RF,Virginia Tech,ACC,110.8651,186,0.5960489247311828,-1.6270682541869805,0.7065804024688354,111.78558785171815,0.6009977841490223,186,153,37.48355158194846,38.20859946418558
"Altamirano, Victoria",LF,UIW,Southland,112.9727,192,0.5883994791666667,-0.5041014599081667,-0.31644771809185007,113.79324917800002,0.5926731728020834,192,164,37.53584104623544,38.18216944988556
"McDonald, Miah",3B,Marist,MAAC,125.97879999999999,223,0.5649273542600897,1.8868580059844169,0.05616105094878871,124.03578094306678,0.5562142643186851,223,206,39.47338598475888,37.94291293207686
"Rodi, Arianna",1B,Charlotte,AAC,117.0073,208,0.5625350961538461,-1.1790189382306915,-0.21226168556278746,118.39858062379349,0.5692239453066995,210,170,36.77653786522924,37.88295609747835
"Painter, Haley",3B,Nevada,Mountain West,122.3035,218,0.5610252293577982,0.1529931433077531,0.7139253676407767,121.43658148905146,0.557048538940603,218,173,37.91828391330199,37.235431413660464
"Palacios, Sharlize",C,UCLA,Pac-12,101.7254,170,0.5983847058823529,-2.8487983950279006,0.4297279523465139,104.14447044268138,0.6126145320157729,172,138,34.97866199443956,36.9065272114997
"Roupe, Rachel",RF,Liberty,CUSA,118.5539,222,0.5340265765765766,-2.8500371740806383,-0.11326828200628888,121.51720545608693,0.5473747993517429,226,174,34.50361022004911,36.87979665628935
"Smith, Morgan",CF,Rutgers,Big Ten,115.7907,201,0.5760731343283582,0.9903660140771314,0.8071625068580744,113.9931714790648,0.5671302063635064,206,169,38.272736589844484,36.8216424773244
